Rank,Username,Categories,Subscribers,ISO-2,ISO-3,Average Visits,Average Likes,Average Comments
144,ImagineDragons,Pop_music,31000000.00,US,USA,"77,100","10,700",217
145,vladnikihindi,Lifestyle_(sociology),30900000.00,US,USA,"897,100","3,400",0
146,AttaHalilintar,Lifestyle_(sociology),30600000.00,ID,IDN,"155,300","7,600",108
147,enaldinho,Entertainment,30600000.00,BR,BRA,"1,800,000","63,400",838
148,toyoraljanahtv,Religion,30600000.00,JO,JOR,"131,100",0,0
149,jacksepticeye,Role-playing_video_game,30400000.00,IE,IRL,"1,600,000","83,400","2,300"
150,TrapNation,Pop_music,30400000.00,US,USA,"47,800","1,600",60
151,LittleAngel,Film,30400000.00,US,USA,"394,800",209,0
152,TalkingTom,Film,30400000.00,US,USA,"201,300",798,0
153,spinninrecords,Electronic_music,30200000.00,NL,NLD,"31,900","1,200",33
154,HUMTV,Entertainment,30200000.00,PK,PAK,"1,100",7,0
155,Dushyant_kukreja,Film,30000000.00,IN,IND,"5,900,000","231,000",485
156,KLBROBijuRithvik1,Entertainment,29900000.00,IN,IND,"1,600,000","49,800",309
157,DaFuqBoom,Action_game,29800000.00,US,USA,"52,700,000","1,700,000","82,800"
158,ultrarecords,Music,29800000.00,US,USA,"15,800",607,21
159,zamzamelectronicstradingllc,Lifestyle_(sociology),29700000.00,AE,ARE,"268,700","18,400",489
160,AlanChikinChow,Entertainment,29700000.00,US,USA,"3,600,000","106,500",428
161,infobellstamilrhymes,Entertainment,29500000.00,IN,IND,"1,200,000","17,700",0
162,Maluma_Official,Music,29400000.00,US,USA,"226,400","8,500",275
163,infobellstelugurhymes,Film,29400000.00,IN,IND,"271,400","5,600",0
164,adityamovies,Entertainment,29400000.00,IN,IND,"26,600","1,000",8
165,MashaOso,Film,29300000.00,MX,MEX,"543,200","5,700",0
166,shemaroomovies,Entertainment,29200000.00,IN,IND,"24,100",242,9
167,gulshankalra07,Entertainment,29200000.00,IN,IND,"8,100,000","431,100","1,100"
168,junya1gou,Humour,29000000.00,JP,JPN,"195,000",924,34
169,adityamusic,Music_of_Asia,28800000.00,IN,IND,"28,200",568,14
170,MichaelJackson,Pop_music,28800000.00,US,USA,"227,300","9,100",0
171,GoldminesDishoom,Film,28700000.00,IN,IND,"14,100",167,0
172,DrakeOfficial,Music,28400000.00,US,USA,0,0,0
173,KidsRomaShow,Lifestyle_(sociology),28200000.00,US,USA,"1,200,000","3,100",0
174,toycantando,Music,28100000.00,CO,COL,"426,400","11,700",0
175,SandeepSeminars,Television_program,28000000.00,IN,IND,"1,200,000","58,500","4,000"
176,LankyBox,Film,28000000.00,US,USA,"346,500","6,300",200
177,bouncepatrol,Music,27900000.00,AU,AUS,"339,300","6,600",0
178,JYPEntertainment,Music,27800000.00,KR,KOR,"177,700","8,700",668
179,nickjr,Film,27800000.00,US,USA,"109,200",191,0
180,CrazyXYZ,Lifestyle_(sociology),27800000.00,IN,IND,"4,200,000","284,100","8,600"
181,DanTDM,Video_game_culture,27800000.00,GB,GBR,"3,500,000","285,000","52,500"
182,wizkhalifa,Hip_hop_music,27800000.00,US,USA,"87,400","4,100",305
183,brentrivera,Entertainment,27600000.00,US,USA,"6,400,000","154,100","5,000"
184,NichLmao,Entertainment,27500000.00,SG,SGP,"1,500,000","85,800","1,600"
185,GoldminesBollywood,Film,27300000.00,IN,IND,"8,900",62,2
186,renatongarcia,Lifestyle_(sociology),27200000.00,BR,BRA,"748,200","68,800",833
187,toypudding,Lifestyle_(sociology),27100000.00,US,USA,0,0,0
188,dbillions,Film,27100000.00,US,USA,"1,000,000",651,0
189,Netflix,Film,27000000.00,US,USA,"202,600","2,200",176
190,RaffyTulfoInAction,Society,26800000.00,PH,PHL,"398,300","5,300",443
191,enchufetv,Entertainment,26800000.00,EC,ECU,"34,300","4,300",17
192,mujjuu___14,Entertainment,26800000.00,IN,IND,"4,500,000","144,000",150
193,indosiar,Entertainment,26700000.00,ID,IDN,"18,800",471,24
194,SpiderSlack,Lifestyle_(sociology),26600000.00,BR,BRA,"532,500","37,700",192
195,worldstarhiphop,Music,26600000.00,US,USA,"40,300",993,127
196,smosh,Film,26300000.00,US,USA,"289,100","21,300",214
197,1MILLION_Dance,Pop_music,26300000.00,KR,KOR,"35,300","1,800",20
198,dianaandromahin8102,Lifestyle_(sociology),26200000.00,US,USA,"109,000",322,0
199,nickiminaj,Music,26100000.00,US,USA,"1,600,000","98,300","7,600"
200,mariliamendoncareal,Music,26100000.00,BR,BRA,0,0,0
201,TheLallantop,Society,26000000.00,IN,IND,"30,800",822,52
202,AGT,Performing_arts,25900000.00,US,USA,"186,800","3,100",197
203,davidguetta,Electronic_music,25900000.00,US,USA,0,0,0
204,ThatLittlePuff,Lifestyle_(sociology),25900000.00,US,USA,"5,100,000","299,000",573
205,postmalone,Hip_hop_music,25900000.00,US,USA,"223,100","13,100",526
206,VanossGaming,Action-adventure_game,25900000.00,US,USA,"1,300,000","56,500","1,100"
207,DanielLaBelle,Entertainment,25900000.00,US,USA,"1,700,000","130,100",892
208,abp_live,News,25800000.00,IN,IND,"2,300",49,1
209,LosPolinesios,Lifestyle_(sociology),25700000.00,MX,MEX,"1,400,000","38,400",866
210,AlejoIgoa,Technology,25700000.00,AR,ARG,"5,700,000","208,400","1,700"
211,ZHCYT,Technology,25700000.00,US,USA,"2,600,000","127,300","2,200"
212,RansEntertainment,Lifestyle_(sociology),25700000.00,ID,IDN,"365,500","11,400",399
213,wbkids,Film,25700000.00,US,USA,"76,100",699,0
214,coldplay,Pop_music,25500000.00,GB,GBR,"66,900","3,700",81
215,ChrisBrownTV,Pop_music,25500000.00,US,USA,"102,000","9,700",354
216,MarkRober,Lifestyle_(sociology),25500000.00,US,USA,"479,200","31,700",329
217,danrhodes,Performing_arts,25500000.00,GB,GBR,"414,500","19,300",131
218,TRANS7Official,Entertainment,25400000.00,ID,IDN,"1,600",29,2
219,WatchMojo,Entertainment,25100000.00,CA,CAN,"46,700","1,400",195
220,LeoNataFamily,Entertainment,25000000.00,US,USA,"2,100,000","42,100",46
221,kidstv,Film,25000000.00,US,USA,"132,600","1,600",0
222,PenMovies,Entertainment,25000000.00,IN,IND,"59,800","1,200",25
223,ChloeTing,Physical_fitness,24900000.00,AU,AUS,"192,700","7,900",621
224,PrestonYT,Entertainment,24900000.00,US,USA,"1,300,000","36,100",287
